company,email,status,category,timestamp
Anthropic (Claude),partnerships@anthropic.com,sent,ai_platform,2025-12-13 20:20:34
Perplexity AI,devrel@perplexity.ai,sent,ai_platform,2025-12-13 20:20:34
Bolt (StackBlitz),partnerships@bolt.new,sent,vibe_coding,2025-12-13 20:20:34
Vercel (v0),sales@vercel.com,sent,vibe_coding,2025-12-13 20:20:34
AWS (Amazon Web Services),aws-activate@amazon.com,sent,cloud,2025-12-13 20:20:34
Google Cloud,sales-namer@google.com,sent,cloud,2025-12-13 20:20:34
Microsoft Azure,azureforeducation@microsoft.com,sent,cloud,2025-12-13 20:20:34
GitHub,education@github.com,sent,dev_tools,2025-12-13 20:20:34
Replit,sales@replit.com,sent,dev_platform,2025-12-13 20:20:34
Flatlogic,hello@flatlogic.com,sent,dev_platform,2025-12-13 20:20:34
Devfolio,partnerships@devfolio.co,sent,hackathon_platform,2025-12-13 20:20:34
Hack2Skill,contact@hack2skill.com,sent,hackathon_platform,2025-12-13 20:20:34
Cisco CSR,csr-india@cisco.com,sent,enterprise,2025-12-13 20:20:34
IBM India,ibm_india_recruiting@in.ibm.com,sent,enterprise,2025-12-13 20:20:34
AI Tinkerers Global,community@aitinkerers.org,sent,ai_community,2025-12-13 20:20:34
Postmark (Wildbit),support@postmarkapp.com,sent,email_api,2025-12-13 20:20:34
