company,email,status,category,timestamp
Google Cloud,partnerships-india@google.com,sent,cloud_ai,2025-12-13 20:12:12
Amazon Web Services,partnerships@aws.amazon.com,sent,cloud_ai,2025-12-13 20:12:12
Microsoft Azure,sponsorship@microsoft.com,sent,cloud_ai,2025-12-13 20:12:12
JetBrains,community@jetbrains.com,sent,developer_tools,2025-12-13 20:12:12
GitHub,support@github.com,sent,developer_tools,2025-12-13 20:12:12
Figma,support@figma.com,sent,developer_tools,2025-12-13 20:12:12
Razorpay,partnerships@razorpay.com,sent,fintech,2025-12-13 20:12:12
PhonePe,partnerships@phonepe.com,sent,fintech,2025-12-13 20:12:12
Instamojo,support@instamojo.com,sent,fintech,2025-12-13 20:12:12
DigitalOcean,community@digitalocean.com,sent,infrastructure,2025-12-13 20:12:12
Heroku,support@heroku.com,sent,infrastructure,2025-12-13 20:12:12
MongoDB,community@mongodb.com,sent,database,2025-12-13 20:12:12
Firebase,support@firebase.google.com,sent,database,2025-12-13 20:12:12
Devfolio,partnerships@devfolio.co,sent,hackathon_platform,2025-12-13 20:12:12
HackerEarth,partnerships@hackerearth.com,sent,hackathon_platform,2025-12-13 20:12:12
Unstop,partnerships@unstop.com,sent,hackathon_platform,2025-12-13 20:12:12
TCS,campusrecruit@tcs.com,sent,enterprise,2025-12-13 20:12:12
Infosys,campusconnect@infosys.com,sent,enterprise,2025-12-13 20:12:12
Wipro,campusrecruit@wipro.com,sent,enterprise,2025-12-13 20:12:12
GeeksforGeeks,partnerships@geeksforgeeks.org,sent,education,2025-12-13 20:12:12
Coursera,partnerships@coursera.org,sent,education,2025-12-13 20:12:12
IEEE India,events@ieeeindia.org,sent,association,2025-12-13 20:12:12
NASSCOM,events@nasscom.in,sent,association,2025-12-13 20:12:12
Zomato,partnerships@zomato.com,sent,food,2025-12-13 20:12:12
Swiggy,partnerships@swiggy.in,sent,food,2025-12-13 20:12:12
DevOps India,hello@devopsindia.com,sent,community,2025-12-13 20:12:12
Python India,psf@python.org,sent,community,2025-12-13 20:12:12
